Nome,Ruolo,Squadra,Quotazione
Meret,Por,Napoli,19
Svilar,Por,Roma,16
Milinkovic-Savic V.,Por,Torino,16
De Gea,Por,Fiorentina,16
Carnesecchi,Por,Atalanta,15
Sommer,Por,Inter,15
Di Gregorio,Por,Juventus,14
Maignan,Por,Milan,14
Caprile,Por,Cagliari,14
Skorupski,Por,Bologna,13
Leali,Por,Genoa,13
Mandas,Por,Lazio,12
Falcone,Por,Lecce,11
Suzuki,Por,Parma,11
Vasquez D.,Por,Empoli,10
Turati,Por,Monza,10
Butez,Por,Como,10
Martinez Jo.,Por,Inter,8
Okoye,Por,Udinese,8
Montipo',Por,Verona,8
Stankovic F.,Por,Venezia,8
Radu I.,Por,Venezia,8
Provedel,Por,Lazio,7
Ravaglia F.,Por,Bologna,6
Sava,Por,Udinese,4
Reina,Por,Como,3
Sommariva,Por,Genoa,3
Terracciano,Por,Fiorentina,2
Perin,Por,Juventus,2
Sportiello,Por,Milan,2
Joronen,Por,Venezia,2
Perilli,Por,Verona,2
Pizzignacco,Por,Monza,2
Siegrist,Por,Genoa,2
Rossi F.,Por,Atalanta,1
Bagnolini,Por,Bologna,1
Scuffet,Por,Napoli,1
Sherri,Por,Cagliari,1
Vigorito,Por,Como,1
Martinelli T.,Por,Fiorentina,1
Gollini,Por,Roma,1
Di Gennaro,Por,Inter,1
Pinsoglio,Por,Juventus,1
Furlanetto,Por,Lazio,1
Fruchtl,Por,Lecce,1
Samooja,Por,Lecce,1
Nava,Por,Milan,1
Contini,Por,Napoli,1
Corvi,Por,Parma,1
Paleari,Por,Torino,1
Padelli,Por,Udinese,1
Grandi,Por,Venezia,1
Berardi A.,Por,Verona,1
Brancolini,Por,Empoli,1
Ciocci,Por,Cagliari,1
Torriani,Por,Milan,1
Donnarumma An.,Por,Torino,1
Silvestri,Por,Empoli,1
Mazza,Por,Monza,1
Marin Re.,Por,Roma,1
Rui Patricio,Por,Atalanta,1
Seghetti,Por,Empoli,1
Piana,Por,Udinese,1
Marcone,Por,Parma,1
Calligaris,Por,Inter,1
De Marzi,Por,Roma,1
Dimarco,E,Inter,21
Dumfries,E,Inter,19
Zortea,Dd;Ds;E,Cagliari,18
Carlos Augusto,E,Inter,17
